date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:49	24051/24051	---M--	200	added ('OK')	image/png	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/images/Logo-Des.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/images/Logo-Des.png	(from https://livestudent.deccansociety.org/)
19:08:49	29196/29196	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2013:38:50%20GMT	https://livestudent.deccansociety.org/Event/EventRegistration/Index	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Event/EventRegistration/Index.html	(from https://livestudent.deccansociety.org/)
19:08:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont3e6e.eot	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfontd41d.eot	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:50	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont3e6e.woff2	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:51	98024/98024	---M--	200	added ('OK')	font/x-woff	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont3e6e.woff	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:51	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont3e6e.ttf	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:51	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/fontawesome-webfont3e6e.svg	(from https://livestudent.deccansociety.org/Main2/DES/css/font-awesome.min.css)
19:08:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.eot	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regulard41d.eot	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:52	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.woff2	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:52	23424/23424	---M--	200	added ('OK')	font/x-woff	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.woff	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:53	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.ttf	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:53	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/fonts/glyphicons-halflings-regular.svg	(from https://livestudent.deccansociety.org/Main2/DES/css/bootstrap.min.css)
19:08:53	280668/280668	---M--	200	added ('OK')	image/jpeg	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/DES/images/banner_2.jpg	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/DES/images/banner_2.jpg	(from https://livestudent.deccansociety.org/Main2/DES/css/style.css)
19:08:54	31008/31008	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/css/font-awesome.min.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/css/font-awesome.min.css	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:54	4124/4124	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/css/timeout-dialog.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/css/timeout-dialog.css	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:54	189142/189142	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Jul%202025%2013:38:54%20GMT	https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Layout/Csscf50.css	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:55	433/433	---M-Z	200	added ('OK')	text/css	etag:%225eb03f29-1b1%22	http://cdnjs.cloudflare.com/ajax/libs/morris.js/0.5.1/morris.css	C:/My%20Web%20Sites/FC/cdnjs.cloudflare.com/ajax/libs/morris.js/0.5.1/morris.css	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:55	136/136	---M--	302	error ('Found')	text/html	date:Sun,%2020%20Jul%202025%2013:38:54%20GMT	https://livestudent.deccansociety.org/StudentPortalDashboard/Index/	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/StudentPortalDashboard/Index/index.html	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:55	12836/12836	---M-Z	200	added ('OK')	text/css	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Content/datepicker/css/bootstrap-datetimepicker.css	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Content/datepicker/css/bootstrap-datetimepicker.css	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:55	1670/1670	---M--	200	added ('OK')	image/jpeg	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Images/Common/nophoto.jpg	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Images/Common/nophoto.jpg	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:56	148822/148822	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2020%20Jul%202025%2013:38:55%20GMT	https://livestudent.deccansociety.org/Layout/jquery?v=Lqw5daIPSmgr9_VoxhO71R9fzdngvQS9fg7Oc9drQE41	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Layout/jquery3475	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:59	35652/35652	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f29-8b44%22	http://cdnjs.cloudflare.com/ajax/libs/morris.js/0.5.1/morris.min.js	C:/My%20Web%20Sites/FC/cdnjs.cloudflare.com/ajax/libs/morris.js/0.5.1/morris.min.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:59	90647/90647	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fb4-16217%22	http://cdnjs.cloudflare.com/ajax/libs/raphael/2.1.0/raphael-min.js	C:/My%20Web%20Sites/FC/cdnjs.cloudflare.com/ajax/libs/raphael/2.1.0/raphael-min.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:59	136078/136078	---M-Z	200	added ('OK')	application/javascript	etag:%2208d2acec1dadb1:0%22	https://livestudent.deccansociety.org/Content/Demo/moment.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Content/Demo/moment.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:59	621993/621993	---MCZ	200	added ('OK')	application/javascript	etag:%2208d2acec1dadb1:0%22	https://livestudent.deccansociety.org/Content/Demo/fullcalendar.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Content/Demo/fullcalendar.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:08:59	69863/69863	---M-Z	200	added ('OK')	application/javascript	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Content/datepicker/js/bootstrap-datetimepicker.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Content/datepicker/js/bootstrap-datetimepicker.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:09:00	18340/18340	---M-Z	200	added ('OK')	application/javascript	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/Scripts/Event/EventRegistration.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Scripts/Event/EventRegistration.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:09:00	6523/6523	---M-Z	200	added ('OK')	application/javascript	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/JS/timeout-dialog.js	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/JS/timeout-dialog.js	(from https://livestudent.deccansociety.org/Event/EventRegistration/Index)
19:09:01	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont3e6e.eot	(from https://livestudent.deccansociety.org/Main2/css/font-awesome.min.css)
19:09:01	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/fonts/fontawesome-webfontd41d.eot	(from https://livestudent.deccansociety.org/Main2/css/font-awesome.min.css)
19:09:01	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont3e6e.ttf	(from https://livestudent.deccansociety.org/Main2/css/font-awesome.min.css)
19:09:02	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/fonts/fontawesome-webfont3e6e.svg	(from https://livestudent.deccansociety.org/Main2/css/font-awesome.min.css)
19:09:02	6318/6318	---M--	200	added ('OK')	image/png	etag:%228023c3cec1dadb1:0%22	https://livestudent.deccansociety.org/Main2/css/timeout-icon.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Main2/css/timeout-icon.png	(from https://livestudent.deccansociety.org/Main2/css/timeout-dialog.css)
19:09:02	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.eot	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:03	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/glyphicons-halflings-regulard41d.eot	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:03	23292/23292	---M--	200	added ('OK')	font/x-woff	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.woff	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:03	41236/41236	---M--	200	added ('OK')	application/octet-stream	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.ttf	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:03	63078/63078	---M--	200	added ('OK')	image/svg+xml	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/glyphicons-halflings-regular.svg	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:04	86204/86204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/ionicons.eot?v=1.4.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/ionicons44ca.eot	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:04	139652/139652	---M--	200	added ('OK')	application/octet-stream	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/ionicons.ttf?v=1.4.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/ionicons44ca.ttf	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:04	48384/48384	---M--	200	added ('OK')	font/x-woff	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/ionicons.woff?v=1.4.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/ionicons44ca.woff	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:05	237951/237951	---M--	200	added ('OK')	image/svg+xml	etag:%220ba5bcfc1dadb1:0%22	https://livestudent.deccansociety.org/fonts/ionicons.svg?v=1.4.0	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/fonts/ionicons44ca.svg	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:05	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:39:05%20GMT	https://livestudent.deccansociety.org/img/ajax-loader1.gif	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/img/ajax-loader1.33.delayed	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:05	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:39:05%20GMT	https://livestudent.deccansociety.org/img/blur-background09.jpg	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/img/blur-background09.34.delayed	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:05	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:39:05%20GMT	https://livestudent.deccansociety.org/Layout/iCheck/minimal/minimal.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Layout/iCheck/minimal/minimal.35.delayed	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:06	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:39:05%20GMT	https://livestudent.deccansociety.org/Layout/iCheck/minimal/minimal@2x.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/Layout/iCheck/minimal/minimal@2x.36.delayed	(from https://livestudent.deccansociety.org/Layout/Css?v=wDEjzd_poEWqekwE5F-RV5Q06b_ThGP0pMUDPEYUqZY1)
19:09:06	32409/32409	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2013:39:06%20GMT	https://livestudent.deccansociety.org/StudentLogin/Index	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/StudentLogin/Index.html	(from https://livestudent.deccansociety.org/StudentPortalDashboard/Index/)
19:09:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jul%202025%2013:39:06%20GMT	https://livestudent.deccansociety.org/StudentLogin/images/apple-touch-icon.png	C:/My%20Web%20Sites/FC/livestudent.deccansociety.org/StudentLogin/images/apple-touch-icon.38.delayed	(from https://livestudent.deccansociety.org/StudentLogin/Index)
