Sno,Gender,ssc_p,hsc_p,degree_p,salary
106,M,59,64,58,
107,M,61.08,50,54,
108,M,82,90,83,200000
109,M,61,82,69,300000
110,M,52,63,65,
111,F,69.5,70,72,250000
112,M,51,54,61,
113,M,58,61,61,250000
114,F,73.96,79,67,280000
115,M,65,68,69,250000
116,F,73,63,66,216000
117,M,68.2,72.8,66.6,300000
118,M,77,75,73,240000
119,M,76,80,78,276000
120,M,60.8,68.4,64.6,940000
121,M,58,40,59,
122,F,64,67,69.6,250000
123,F,66.5,66.8,69.3,236000
124,M,74,59,73,240000
125,M,67,71,64.33,250000
126,F,84,73,73,350000
127,F,79,61,75.5,210000
128,F,72,60,69,250000
129,M,80.4,73.4,77.72,400000
130,M,76.7,89.7,66,250000
131,M,62,65,60,
132,F,74.9,57,62,360000
133,M,67,68,64,300000
134,M,73,64,77,250000
135,F,77.44,92,72,250000
136,F,72,56,69,200000
137,F,47,59,64,
138,M,67,63,72,225000
139,F,82,64,73,250000
140,M,77,70,59,220000
141,M,65,64.8,69.5,265000
142,M,66,64,60,
143,M,85,60,73.43,260000
144,M,77.67,64.89,70.67,300000
145,M,52,50,61,
146,M,89.4,65.66,71.25,400000
147,M,62,63,66,233000
148,M,70,74,65,300000
149,F,77,86,56,240000
150,M,44,58,55,
151,M,71,58.66,58,690000
152,M,65,65,75,270000
153,F,75.4,60.5,84,240000
154,M,49,59,65,340000
155,M,53,63,60,250000
156,M,51.57,74.66,59.9,
157,M,84.2,69.4,65,255000
158,M,66.5,62.5,60.9,300000
159,M,67,63,64,
160,M,52,49,58,
161,M,87,74,65,300000
162,M,55.6,51,57.5,
163,M,74.2,87.6,77.25,285000
164,M,63,67,64,500000
165,F,67.16,72.5,63.35,250000
166,F,63.3,78.33,74,
167,M,62,62,60,240000
168,M,67.9,62,67,
169,F,48,51,58,
170,M,59.96,42.16,61.26,
171,F,63.4,67.2,60,
172,M,80,80,72,290000
173,M,73,58,56,300000
174,F,52,52,55,
175,M,73.24,50.83,64.27,500000
176,M,63,62,65,
177,F,59,60,56,220000
178,F,73,97,79,650000
179,M,68,56,68,350000
180,F,77.8,64,64.2,
181,M,65,71.5,62.8,265000
182,M,62,60.33,64.21,
183,M,52,65,57,
184,M,65,77,69,276000
185,F,56.28,62.83,59.79,
186,F,88,72,78,252000
187,F,52,64,61,
188,M,78.5,65.5,67,280000
189,M,61.8,47,54.38,
190,F,54,77.6,69.2,
191,F,64,70.2,61,
192,M,67,61,72,264000
193,M,65.2,61.4,64.8,270000
194,F,60,63,56,300000
195,M,52,55,56.3,
196,M,66,76,72,275000
197,M,72,63,77.5,250000
198,F,83.96,53,91,260000
199,F,67,70,65,
200,M,69,65,57,265000
201,M,69,60,65,300000
202,M,54.2,63,58,
203,M,70,63,66,240000
204,M,55.68,61.33,56.87,260000
205,F,74,73,73,210000
206,M,61,62,65,250000
207,M,41,42,60,
208,M,83.33,78,61,300000
209,F,43,60,65,
210,M,62,72,65,216000
211,M,80.6,82,77.6,400000
212,M,58,60,72,275000
213,M,67,67,73,295000
214,F,74,66,58,204000
215,M,62,58,53,
