Sno,Gender,ssc_p,hsc_p,degree_p,salary
84,M,84.0,79.0,68.0,113900000.0
85,M,70.0,63.0,70.0,101500000.0
86,F,83.84,89.83,77.2,124771000.0
87,M,62.0,63.0,64.0,94700000.0
88,M,59.6,51.0,60.0,85340000.0
89,F,66.0,62.0,73.0,101200000.0
90,F,84.0,75.0,69.0,112500000.0
91,F,85.0,90.0,82.0,128200000.0
92,M,52.0,57.0,50.8,79780000.0
93,F,60.23,69.0,66.0,98192000.0
94,M,52.0,62.0,54.0,84200000.0
95,M,58.0,62.0,64.0,92600000.0
96,M,73.0,78.0,65.0,107200000.0
97,F,76.0,70.0,76.0,111000000.0
98,F,70.5,62.5,61.0,96050000.0
99,F,69.0,73.0,65.0,103100000.0
100,M,54.0,82.0,63.0,100400000.0
101,F,45.0,57.0,58.0,81300000.0
102,M,63.0,72.0,68.0,102000000.0
103,F,77.0,61.0,68.0,102100000.0
104,M,73.0,78.0,73.0,112000000.0
105,M,69.0,63.0,65.0,98100000.0
106,M,59.0,64.0,58.0,90400000.0
107,M,61.08,50.0,54.0,81832000.0
108,M,82.0,90.0,83.0,127600000.0
109,M,61.0,82.0,69.0,106800000.0
110,M,52.0,63.0,65.0,91300000.0
111,F,69.5,70.0,72.0,106000000.0
112,M,51.0,54.0,61.0,84000000.0
113,M,58.0,61.0,61.0,90300000.0
114,F,73.96,79.0,67.0,109284000.0
115,M,65.0,68.0,69.0,101400000.0
116,F,73.0,63.0,66.0,100300000.0
117,M,68.2,72.8,66.6,103640000.0
118,M,77.0,75.0,73.0,112100000.0
119,M,76.0,80.0,78.0,117200000.0
120,M,60.8,68.4,64.6,97280000.0
121,M,58.0,40.0,59.0,78600000.0
122,F,64.0,67.0,69.6,100860000.0
123,F,66.5,66.8,69.3,101580000.0
124,M,74.0,59.0,73.0,102900000.0
125,M,67.0,71.0,64.33,100898000.0
126,F,84.0,73.0,73.0,113900000.0
127,F,79.0,61.0,75.5,107400000.0
128,F,72.0,60.0,69.0,100200000.0
129,M,80.4,73.4,77.72,115492000.0
130,M,76.7,89.7,66.0,115130000.0
131,M,62.0,65.0,60.0,93300000.0
132,F,74.9,57.0,62.0,95660000.0
133,M,67.0,68.0,64.0,99200000.0
134,M,73.0,64.0,77.0,107400000.0
135,F,77.44,92.0,72.0,120176000.0
136,F,72.0,56.0,69.0,98200000.0
137,F,47.0,59.0,64.0,86700000.0
138,M,67.0,63.0,72.0,101500000.0
139,F,82.0,64.0,73.0,108600000.0
140,M,77.0,70.0,59.0,101200000.0
141,M,65.0,64.8,69.5,100100000.0
142,M,66.0,64.0,60.0,94400000.0
143,M,85.0,60.0,73.43,108058000.0
144,M,77.67,64.89,70.67,105915000.0
145,M,52.0,50.0,61.0,82400000.0
146,M,89.4,65.66,71.25,111340000.0
147,M,62.0,63.0,66.0,95900000.0
148,M,70.0,74.0,65.0,104000000.0
149,F,77.0,86.0,56.0,107400000.0
150,M,44.0,58.0,55.0,79600000.0
151,M,71.0,58.66,58.0,92530000.0
152,M,65.0,65.0,75.0,103500000.0
153,F,75.4,60.5,84.0,110810000.0
154,M,49.0,59.0,65.0,88100000.0
155,M,53.0,63.0,60.0,88700000.0
156,M,51.57,74.66,59.9,93898000.0
157,M,84.2,69.4,65.0,107380000.0
158,M,66.5,62.5,60.9,94390000.0
159,M,67.0,63.0,64.0,96700000.0
160,M,52.0,49.0,58.0,80100000.0
161,M,87.0,74.0,65.0,110800000.0
162,M,55.6,51.0,57.5,82240000.0
163,M,74.2,87.6,77.25,119830000.0
164,M,63.0,67.0,64.0,97100000.0
165,F,67.16,72.5,63.35,101124000.0
166,F,63.3,78.33,74.0,108885000.0
167,M,62.0,62.0,60.0,91800000.0
168,M,67.9,62.0,67.0,98360000.0
169,F,48.0,51.0,58.0,79500000.0
170,M,59.96,42.16,61.26,81820000.0
171,F,63.4,67.2,60.0,94960000.0
172,M,80.0,80.0,72.0,115200000.0
173,M,73.0,58.0,56.0,91800000.0
174,F,52.0,52.0,55.0,79800000.0
175,M,73.24,50.83,64.27,93273000.0
176,M,63.0,62.0,65.0,95200000.0
177,F,59.0,60.0,56.0,87200000.0
178,F,73.0,97.0,79.0,125100000.0
179,M,68.0,56.0,68.0,96000000.0
180,F,77.8,64.0,64.2,101640000.0
181,M,65.0,71.5,62.8,99430000.0
182,M,62.0,60.33,64.21,93491000.0
183,M,52.0,65.0,57.0,87500000.0
184,M,65.0,77.0,69.0,105900000.0
185,F,56.28,62.83,59.79,89801000.0
186,F,88.0,72.0,78.0,118000000.0
187,F,52.0,64.0,61.0,89400000.0
188,M,78.5,65.5,67.0,104350000.0
189,M,61.8,47.0,54.38,80848000.0
190,F,54.0,77.6,69.2,101920000.0
191,F,64.0,70.2,61.0,97300000.0
192,M,67.0,61.0,72.0,100500000.0
193,M,65.2,61.4,64.8,95660000.0
194,F,60.0,63.0,56.0,89100000.0
195,M,52.0,55.0,56.3,82080000.0
196,M,66.0,76.0,72.0,107600000.0
197,M,72.0,63.0,77.5,106800000.0
198,F,83.96,53.0,91.0,114684000.0
199,F,67.0,70.0,65.0,100800000.0
200,M,69.0,65.0,57.0,94300000.0
201,M,69.0,60.0,65.0,96600000.0
202,M,54.2,63.0,58.0,87980000.0
203,M,70.0,63.0,66.0,99100000.0
204,M,55.68,61.33,56.87,87059000.0
205,F,74.0,73.0,73.0,109900000.0
206,M,61.0,62.0,65.0,94400000.0
207,M,41.0,42.0,60.0,73400000.0
208,M,83.33,78.0,61.0,108932000.0
209,F,43.0,60.0,65.0,86200000.0
210,M,62.0,72.0,65.0,99800000.0
211,M,80.6,82.0,77.6,119800000.0
212,M,58.0,60.0,72.0,96400000.0
213,M,67.0,67.0,73.0,104100000.0
214,F,74.0,66.0,58.0,97400000.0
215,M,62.0,58.0,53.0,85600000.0
