Diameter (inches),Topping,BreadType,Extra Topping,Extra Cheese,Price (INR)
13,Pepperoni,Detroit,False,True,340
11,Pepperoni,thick,True,True,330
14,Veggie Delight,Brooklyn,True,True,390
16,Margherita,Detroit,True,False,390
14,Pepperoni,thin,False,True,360
8,Four Cheese,Brooklyn,False,True,240
8,Pepperoni,Detroit,False,True,240
16,Pepperoni,Detroit,False,False,360
16,Margherita,Brooklyn,False,True,400
11,BBQ Chicken,thin,True,False,290
16,Pepperoni,Brooklyn,True,False,390
10,Veggie Delight,Detroit,True,True,310
14,BBQ Chicken,thick,True,True,390
13,Four Cheese,thick,False,False,300
15,Margherita,Brooklyn,True,True,410
16,Four Cheese,Detroit,False,True,400
12,BBQ Chicken,thick,True,False,310
8,BBQ Chicken,Detroit,False,False,200
10,BBQ Chicken,Brooklyn,False,True,280
15,Four Cheese,thick,True,False,370
13,BBQ Chicken,Detroit,True,True,370
15,Four Cheese,thick,True,True,410
16,BBQ Chicken,Brooklyn,True,True,430
11,Veggie Delight,Detroit,False,False,260
8,BBQ Chicken,thick,True,True,270
8,Four Cheese,Brooklyn,True,True,270
11,Pepperoni,thick,False,True,300
14,BBQ Chicken,thick,True,False,350
9,Pepperoni,thin,True,False,250
10,Veggie Delight,thin,True,False,270
8,Margherita,Brooklyn,True,False,230
12,Veggie Delight,thin,True,False,310
8,BBQ Chicken,Brooklyn,False,True,240
15,Pepperoni,thin,True,False,370
8,Pepperoni,thick,True,False,230
8,Four Cheese,Brooklyn,True,False,230
9,Pepperoni,Brooklyn,True,True,290
9,Four Cheese,thick,True,False,250
13,Margherita,Brooklyn,False,False,300
14,BBQ Chicken,Brooklyn,True,True,390
12,Four Cheese,thin,False,False,280
8,Margherita,Brooklyn,False,True,240
8,Pepperoni,Detroit,True,True,270
10,Pepperoni,thick,True,True,310
9,Margherita,thin,True,True,290
12,Pepperoni,thin,True,True,350
13,Margherita,Detroit,False,False,300
14,Four Cheese,thick,True,True,390
11,Four Cheese,thick,True,True,330
14,Margherita,thin,True,False,350
15,Four Cheese,Brooklyn,True,True,410
8,Four Cheese,thin,True,False,230
13,Four Cheese,thick,True,False,330
15,Veggie Delight,Detroit,False,False,340
12,BBQ Chicken,thin,False,True,320
11,Pepperoni,thick,True,True,330
9,Veggie Delight,thin,True,True,290
13,Four Cheese,Brooklyn,True,False,330
13,Margherita,thin,False,True,340
8,Four Cheese,thin,True,True,270
16,BBQ Chicken,thick,False,True,400
13,Four Cheese,thick,True,False,330
10,Margherita,thick,True,False,270
11,BBQ Chicken,thin,True,True,330
11,Four Cheese,Brooklyn,True,True,330
10,BBQ Chicken,Detroit,False,True,280
10,Pepperoni,Detroit,False,True,280
10,Pepperoni,thick,True,False,270
11,Four Cheese,thick,True,False,290
14,BBQ Chicken,thin,False,False,320
11,Margherita,Detroit,False,False,260
16,Four Cheese,thick,False,True,400
8,Pepperoni,Brooklyn,False,True,240
15,Pepperoni,Brooklyn,True,True,410
14,Four Cheese,thick,False,False,320
9,BBQ Chicken,thick,True,True,290
15,Pepperoni,Detroit,False,False,340
