Sno,Gender,ssc_p,hsc_p,degree_p,salary
47,F,0.7089,0.7198,0.6559999999999999,975685.1095717802
48,M,0.63,0.6,0.57,875267.3304374523
49,M,0.63,0.62,0.68,963237.7638240968
50,F,0.5,0.37,0.52,615998.6234138604
51,F,0.752,0.732,0.684,1085268.236070509
52,M,0.544,0.6112,0.562,933904.012432772
53,F,0.4089,0.4583,0.53,711841.1511212428
54,M,0.8,0.7,0.72,1098409.8951587712
55,F,0.74,0.6,0.69,1013685.306474296
56,M,0.604,0.6659999999999999,0.65,1028522.2499780884
57,M,0.63,0.7140000000000001,0.614,931890.9854287015
58,M,0.68,0.76,0.74,1089586.0763834163
59,M,0.74,0.62,0.68,1045442.3470198797
60,M,0.526,0.6557999999999999,0.7211,1000027.2840115267
61,M,0.74,0.7,0.72,1108272.1763670242
62,M,0.8420000000000001,0.7340000000000001,0.6689,1097213.7653551602
63,F,0.865,0.642,0.674,1159867.9543920688
64,M,0.61,0.7,0.64,1017775.2792860188
65,M,0.8,0.73,0.75,1149816.7896718278
66,M,0.54,0.47,0.57,796556.1462982182
67,M,0.83,0.74,0.66,1117797.9840747186
68,M,0.8092,0.785,0.67,1165058.6987232117
69,F,0.6970000000000001,0.47,0.727,939091.8540786316
70,M,0.73,0.73,0.66,1087145.4565642562
71,M,0.82,0.61,0.62,907985.8466071764
72,M,0.75,0.7029000000000001,0.71,1109091.3691963705
73,M,0.8486,0.67,0.78,1098834.4252615352
74,M,0.6459999999999999,0.8382999999999999,0.7172,1088684.1150503526
75,M,0.5660000000000001,0.648,0.7020000000000001,975735.5002901803
76,F,0.59,0.62,0.775,987542.8492133436
77,F,0.665,0.7040000000000001,0.7193,1039637.207677208
78,M,0.64,0.8,0.65,1054410.1422064984
79,M,0.84,0.909,0.645,1105496.0555736234
80,F,0.69,0.62,0.66,1009898.5505400244
81,F,0.69,0.62,0.69,985103.1529490558
82,M,0.8170000000000001,0.63,0.67,1094808.8914353943
83,M,0.63,0.67,0.74,1040724.0757733771
84,M,0.84,0.79,0.68,1152158.599510595
85,M,0.7,0.63,0.7,976566.6489045097
86,F,0.8384,0.8983,0.772,1312144.9716652678
87,M,0.62,0.63,0.64,987473.5545034084
88,M,0.596,0.51,0.6,912675.0236784129
89,F,0.66,0.62,0.73,983437.8051146994
90,F,0.84,0.75,0.69,1195930.1833602139
91,F,0.85,0.9,0.82,1232663.7248339034
92,M,0.52,0.57,0.508,770590.6291481949
93,F,0.6023,0.69,0.66,1074336.1284382045
94,M,0.52,0.62,0.54,824327.770665771
95,M,0.58,0.62,0.64,907257.3099716685
96,M,0.73,0.78,0.65,1007557.4989996094
97,F,0.76,0.7,0.76,1128133.0425440061
98,F,0.705,0.625,0.61,875671.4939597733
99,F,0.69,0.73,0.65,1028088.9104184104
100,M,0.54,0.82,0.63,981069.5370870767
101,F,0.45,0.57,0.58,823858.2090879017
102,M,0.63,0.72,0.68,1068082.7365113806
103,F,0.77,0.61,0.68,1056831.292560346
104,M,0.73,0.78,0.73,1132829.3101242497
105,M,0.69,0.63,0.65,945973.0438608169
106,M,0.59,0.64,0.58,941334.8137209266
107,M,0.6108,0.5,0.54,757713.9856074111
108,M,0.82,0.9,0.83,1197606.4085063431
109,M,0.61,0.82,0.69,1044955.095854884
110,M,0.52,0.63,0.65,877943.0001141903
111,F,0.695,0.7,0.72,976089.457478972
112,M,0.51,0.54,0.61,868205.293534334
113,M,0.58,0.61,0.61,901594.6157503544
114,F,0.7395999999999999,0.79,0.67,1168857.4995563822
115,M,0.65,0.68,0.69,1015501.6464953565
116,F,0.73,0.63,0.66,954637.5249522254
117,M,0.682,0.728,0.6659999999999999,957230.7264072776
118,M,0.77,0.75,0.73,1139096.7815952029
119,M,0.76,0.8,0.78,1215888.2079537804
120,M,0.608,0.684,0.6459999999999999,980808.7298911501
121,M,0.58,0.4,0.59,712829.9465687757
122,F,0.64,0.67,0.696,972455.3744605676
123,F,0.665,0.6679999999999999,0.693,1040861.4765417816
124,M,0.74,0.59,0.73,1098667.3319110014
125,M,0.67,0.71,0.6433,1075102.254693509
126,F,0.84,0.73,0.73,1100770.742605942
127,F,0.79,0.61,0.755,1114630.3040884065
128,F,0.72,0.6,0.69,1008240.0091454909
129,M,0.804,0.7340000000000001,0.7772,1128270.3294692617
130,M,0.767,0.897,0.66,1116581.6590160814
131,M,0.62,0.65,0.6,1004569.1309466136
132,F,0.7490000000000001,0.57,0.62,1024455.8059465549
133,M,0.67,0.68,0.64,901238.6175427524
134,M,0.73,0.64,0.77,1109892.291398991
135,F,0.7744,0.92,0.72,1227875.0956259144
136,F,0.72,0.56,0.69,974546.0610410852
137,F,0.47,0.59,0.64,836577.7473977101
138,M,0.67,0.63,0.72,928606.7244320215
139,F,0.82,0.64,0.73,1130918.1965260208
140,M,0.77,0.7,0.59,1064059.0479865067
141,M,0.65,0.648,0.695,987778.0841835239
142,M,0.66,0.64,0.6,965342.322788438
143,M,0.85,0.6,0.7343000000000001,1195657.1919114492
144,M,0.7767000000000001,0.6489,0.7067,1045383.3060010294
145,M,0.52,0.5,0.61,864028.4390734176
146,M,0.894,0.6566,0.7125,1164338.0546298884
147,M,0.62,0.63,0.66,951277.3919975158
148,M,0.7,0.74,0.65,1013129.8772044866
149,F,0.77,0.86,0.56,998814.652460966
150,M,0.44,0.58,0.55,797406.3948581318
151,M,0.71,0.5866,0.58,881433.7876213021
152,M,0.65,0.65,0.75,1089012.6544606735
153,F,0.754,0.605,0.84,1143997.3741593556
154,M,0.49,0.59,0.65,837158.6850822248
155,M,0.53,0.63,0.6,903174.4257986251
156,M,0.5157,0.7465999999999999,0.599,906218.9898623037
157,M,0.8420000000000001,0.6940000000000001,0.65,1116036.7955695696
158,M,0.665,0.625,0.609,944171.008091948
159,M,0.67,0.63,0.64,983223.301246145
160,M,0.52,0.49,0.58,747686.6210950926
161,M,0.87,0.74,0.65,1039390.4463569399
162,M,0.556,0.51,0.575,934209.819962568
163,M,0.742,0.8759999999999999,0.7725,1153609.5707555783
164,M,0.63,0.67,0.64,915731.8384898546
165,F,0.6716,0.725,0.6335000000000001,991312.2871695807
166,F,0.633,0.7833,0.74,1175907.0519637018
167,M,0.62,0.62,0.6,893954.9503257888
168,M,0.679,0.62,0.67,939734.1172546833
169,F,0.48,0.51,0.58,772752.5036841469
170,M,0.5996,0.4216,0.6126,809456.942969268
171,F,0.634,0.672,0.6,938877.3439802689
172,M,0.8,0.8,0.72,1077307.6702036378
173,M,0.73,0.58,0.56,874009.6577993062
174,F,0.52,0.52,0.55,822806.1118021815
175,M,0.7323999999999999,0.5083,0.6426999999999999,850798.7387680921
176,M,0.63,0.62,0.65,916189.9924908779
177,F,0.59,0.6,0.56,770942.348258077
178,F,0.73,0.97,0.79,1216584.730389845
179,M,0.68,0.56,0.68,1018607.1060380551
180,F,0.778,0.64,0.642,904995.612338922
181,M,0.65,0.715,0.628,887629.4825039282
182,M,0.62,0.6033,0.6420999999999999,922548.7071915749
183,M,0.52,0.65,0.57,903729.457959796
184,M,0.65,0.77,0.69,986489.5213040359
185,F,0.5628,0.6283,0.5979,781185.9071414159
186,F,0.88,0.72,0.78,1122653.2768611952
187,F,0.52,0.64,0.61,875832.2408214948
188,M,0.785,0.655,0.67,1105562.0594460967
189,M,0.618,0.47,0.5438000000000001,697898.2213005864
190,F,0.54,0.7759999999999999,0.6920000000000001,1064544.1997191473
191,F,0.64,0.7020000000000001,0.61,953525.9444955793
192,M,0.67,0.61,0.72,1005550.6268793729
193,M,0.652,0.614,0.648,1010806.1434904583
194,F,0.6,0.63,0.56,928606.4632026535
195,M,0.52,0.55,0.563,827847.3022696947
196,M,0.66,0.76,0.72,1002059.6695643789
197,M,0.72,0.63,0.775,1078486.9013578733
198,F,0.8395999999999999,0.53,0.91,1112760.4200365297
199,F,0.67,0.7,0.65,1021883.3440175551
200,M,0.69,0.65,0.57,946605.1268205951
201,M,0.69,0.6,0.65,848951.2938990463
202,M,0.542,0.63,0.58,835454.2455257172
203,M,0.7,0.63,0.66,880684.7082272198
204,M,0.5568,0.6133,0.5687,812774.6050482919
205,F,0.74,0.73,0.73,1013142.7913005841
206,M,0.61,0.62,0.65,901280.6589884559
207,M,0.41,0.42,0.6,801090.2724516331
208,M,0.8332999999999999,0.78,0.61,1112466.042833964
209,F,0.43,0.6,0.65,784029.5586245282
210,M,0.62,0.72,0.65,980657.1176466626
211,M,0.8059999999999999,0.82,0.7759999999999999,1151026.333678535
212,M,0.58,0.6,0.72,1017812.9455222249
213,M,0.67,0.67,0.73,1015115.0047218169
214,F,0.74,0.66,0.58,970546.2596143713
215,M,0.62,0.58,0.53,818379.2543563105
