Diameter (inches),Topping,BreadType,Extra Topping,Extra Cheese,Price (INR)
9,Pepperoni,thin,Jalapenos,False,250
10,Veggie Delight,thin,Olives,False,270
8,Margherita,Brooklyn,Olives,False,230
12,Veggie Delight,thin,Olives,False,310
8,BBQ Chicken,Brooklyn,Mushrooms,True,270
15,Pepperoni,thin,Olives,False,370
8,Pepperoni,thick,Jalapenos,False,230
8,Four Cheese,Brooklyn,Jalapenos,False,230
9,Pepperoni,Brooklyn,Olives,True,290
9,Four Cheese,thick,Olives,False,250
13,Margherita,Brooklyn,None,False,300
14,BBQ Chicken,Brooklyn,Jalapenos,True,390
12,Four Cheese,thin,Mushrooms,False,310
8,Margherita,Brooklyn,None,True,240
8,Pepperoni,Detroit,Olives,True,270
10,Pepperoni,thick,Olives,True,310
9,Margherita,thin,Jalapenos,True,290
12,Pepperoni,thin,Olives,True,350
13,Margherita,Detroit,Mushrooms,False,330
14,Four Cheese,thick,Jalapenos,True,390
11,Four Cheese,thick,Olives,True,330
14,Margherita,thin,Jalapenos,False,350
15,Four Cheese,Brooklyn,Olives,True,410
8,Four Cheese,thin,Olives,False,230
13,Four Cheese,thick,Olives,False,330
15,Veggie Delight,Detroit,Mushrooms,False,370
12,BBQ Chicken,thin,Mushrooms,True,350
11,Pepperoni,thick,Jalapenos,True,330
9,Veggie Delight,thin,Olives,True,290
13,Four Cheese,Brooklyn,Olives,False,330
13,Margherita,thin,Mushrooms,True,370
8,Four Cheese,thin,Olives,True,270
16,BBQ Chicken,thick,Mushrooms,True,430
13,Four Cheese,thick,Olives,False,330
10,Margherita,thick,Jalapenos,False,270
11,BBQ Chicken,thin,Olives,True,330
11,Four Cheese,Brooklyn,Olives,True,330
10,BBQ Chicken,Detroit,None,True,280
10,Pepperoni,Detroit,Mushrooms,True,310
10,Pepperoni,thick,Olives,False,270
11,Four Cheese,thick,Olives,False,290
14,BBQ Chicken,thin,None,False,320
11,Margherita,Detroit,None,False,260
16,Four Cheese,thick,Mushrooms,True,430
8,Pepperoni,Brooklyn,None,True,240
15,Pepperoni,Brooklyn,Jalapenos,True,410
14,Four Cheese,thick,None,False,320
9,BBQ Chicken,thick,Jalapenos,True,290
15,Pepperoni,Detroit,Mushrooms,False,370
